 it |         mu |   G(beta/2) per orbital |    orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |   -0.00370 |   -0.13768     -0.10792 |    0.73357      0.41885 |           1.15242 | -143.73963 | -143.68135      0.00000      0.00000      0.22073
  1 |   -0.00370 |   -0.09953     -0.09564 |    0.71931      0.49766 |           1.21697 | -142.45111 | -143.68135      0.54633      0.55576      0.33182
  2 |    0.03506 |   -0.07532     -0.11134 |    0.78734      0.57989 |           1.36723 | -142.44146 | -143.68135      0.78403      0.62959      0.63095
  3 |   -0.05922 |   -0.04020     -0.09139 |    0.83553      0.70081 |           1.53635 | -142.50768 | -143.68135      1.02647      0.76156      1.03551
  4 |   -0.17714 |   -0.01419     -0.04703 |    0.88222      0.80652 |           1.68874 | -142.70470 | -143.68135      1.20036      0.91029      1.46164
  5 |   -0.29407 |   -0.00343     -0.01966 |    0.90852      0.87801 |           1.78653 | -142.89432 | -143.68135      1.30473      1.00666      1.76582
  6 |   -0.37220 |   -0.00167     -0.02660 |    0.92477      0.89287 |           1.81764 | -142.91914 | -143.71913      1.41690      1.04156      1.86762
  7 |   -0.40435 |   -0.00182     -0.02983 |    0.92487      0.90120 |           1.82607 | -142.93583 | -143.72220      1.42961      1.05127      1.89562
  8 |   -0.41545 |   -0.00159     -0.02973 |    0.92333      0.89625 |           1.81958 | -142.92425 | -143.72441      1.42285      1.05411      1.87404
  9 |   -0.40267 |   -0.00180     -0.03034 |    0.92395      0.89745 |           1.82140 | -142.92078 | -143.72568      1.43161      1.05451      1.88010
 10 |   -0.40170 |   -0.00128     -0.02926 |    0.92560      0.89421 |           1.81981 | -142.91869 | -143.72607      1.43082      1.05235      1.87481
