 it |         mu |   G(beta/2) per orbital |    orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |   -0.03135 |   -0.08155     -0.07219 |    0.46816      0.44300 |           0.91116 | -142.60357 | -142.55955      0.00000      0.00000     -0.13491
  1 |   -0.03135 |   -0.07835     -0.06917 |    0.42274      0.40121 |           0.82396 | -140.88637 | -142.55955      0.52939      0.37942     -0.24176
  2 |    0.13833 |   -0.06802     -0.06551 |    0.41092      0.39012 |           0.80105 | -140.88509 | -142.55955      0.58387      0.36989     -0.26562
  3 |    0.11557 |   -0.06147     -0.05954 |    0.38916      0.37118 |           0.76034 | -140.87495 | -142.55955      0.67336      0.33667     -0.30371
  4 |    0.08669 |   -0.05578     -0.05410 |    0.36156      0.34301 |           0.70457 | -140.86443 | -142.55955      0.77935      0.28970     -0.34692
  5 |    0.08998 |   -0.05547     -0.05390 |    0.35535      0.34036 |           0.69571 | -140.90543 | -142.62226      0.81685      0.26797     -0.35283
  6 |    0.08583 |   -0.05671     -0.05536 |    0.34880      0.32632 |           0.67512 | -140.89783 | -142.62226      0.81865      0.25470     -0.36555
  7 |    0.10446 |   -0.05604     -0.05442 |    0.34746      0.32099 |           0.66845 | -140.89670 | -142.62721      0.85702      0.25014     -0.36937
  8 |    0.09464 |   -0.05536     -0.05378 |    0.33681      0.31732 |           0.65414 | -140.88487 | -142.62721      0.90894      0.23708     -0.37707
  9 |    0.09037 |   -0.05372     -0.05234 |    0.33153      0.30995 |           0.64149 | -140.89157 | -142.64472      0.93021      0.22756     -0.38330
 10 |    0.09732 |   -0.05199     -0.05033 |    0.32510      0.30436 |           0.62946 | -140.88140 | -142.64472      0.97985      0.22067     -0.38873
 11 |    0.09140 |   -0.05015     -0.04839 |    0.31762      0.30028 |           0.61791 | -140.88049 | -142.65942      1.01863      0.20901     -0.39350
 12 |    0.08689 |   -0.04785     -0.04593 |    0.31469      0.28878 |           0.60347 | -140.87577 | -142.65942      1.07053      0.19740     -0.39882
 13 |    0.08463 |   -0.04537     -0.04341 |    0.30095      0.28900 |           0.58994 | -140.87351 | -142.67596      1.12320      0.18824     -0.40318
 14 |    0.07761 |   -0.04186     -0.03997 |    0.28783      0.27388 |           0.56171 | -140.85826 | -142.67596      1.17944      0.17568     -0.41032
 15 |    0.08862 |   -0.03771     -0.03590 |    0.28453      0.26750 |           0.55203 | -140.86043 | -142.70421      1.24901      0.16618     -0.41215
 16 |    0.07529 |   -0.03302     -0.03121 |    0.27393      0.24920 |           0.52313 | -140.84751 | -142.70421      1.31877      0.15350     -0.41578
 17 |    0.07898 |   -0.02801     -0.02645 |    0.26080      0.24174 |           0.50253 | -140.86041 | -142.73287      1.41500      0.14176     -0.41666
 18 |    0.06088 |   -0.02156     -0.02063 |    0.24533      0.22665 |           0.47198 | -140.85144 | -142.73287      1.49845      0.12590     -0.41536
 19 |    0.05633 |   -0.01554     -0.01469 |    0.22843      0.21348 |           0.44191 | -140.86738 | -142.76974      1.57811      0.11401     -0.41104
 20 |    0.05171 |   -0.01034     -0.00990 |    0.21323      0.20312 |           0.41634 | -140.87291 | -142.76974      1.67100      0.10293     -0.40500
 21 |    0.03316 |   -0.00618     -0.00613 |    0.20246      0.19703 |           0.39949 | -140.90207 | -142.80820      1.73457      0.09339     -0.39983
 22 |    0.01652 |   -0.00418     -0.00411 |    0.19395      0.18363 |           0.37758 | -140.90972 | -142.80820      1.77549      0.08438     -0.39169
 23 |    0.01376 |   -0.00255     -0.00249 |    0.18680      0.17891 |           0.36571 | -140.91312 | -142.82846      1.78109      0.08044     -0.38661
 24 |    0.02872 |   -0.00181     -0.00181 |    0.18715      0.17684 |           0.36400 | -140.93542 | -142.82846      1.83634      0.07877     -0.38584
 25 |    0.00223 |   -0.00127     -0.00133 |    0.18316      0.17371 |           0.35687 | -140.92917 | -142.84032      1.81709      0.07472     -0.38252
 26 |    0.02156 |   -0.00113     -0.00124 |    0.18468      0.17209 |           0.35678 | -140.93251 | -142.84032      1.83682      0.07646     -0.38248
