 it |         mu |   G(beta/2) per orbital |    orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |   -0.01810 |   -0.10673     -0.10830 |    0.48752      0.47808 |           0.96560 | -141.96557 | -142.30280      0.00000      0.00000     -0.05537
  1 |   -0.01810 |   -0.09390     -0.09551 |    0.46928      0.44595 |           0.91523 | -140.75490 | -142.30280      0.39680      0.43046     -0.12931
  2 |    0.22241 |   -0.09750     -0.09889 |    0.50737      0.47952 |           0.98689 | -140.73382 | -142.30280      0.43343      0.50172     -0.02157
  3 |    0.19184 |   -0.10047     -0.10170 |    0.53707      0.51280 |           1.04988 | -140.71569 | -142.30280      0.49653      0.56709      0.08727
  4 |    0.16646 |   -0.10179     -0.10280 |    0.56613      0.54390 |           1.11003 | -140.71217 | -142.30280      0.55519      0.63561      0.20356
  5 |    0.14666 |   -0.10108     -0.10242 |    0.59993      0.57056 |           1.17050 | -140.70421 | -142.30280      0.63747      0.70478      0.33261
  6 |    0.12497 |   -0.09721     -0.09873 |    0.62881      0.59590 |           1.22471 | -140.69095 | -142.30662      0.71961      0.78241      0.45868
  7 |    0.10806 |   -0.09220     -0.09510 |    0.65915      0.63126 |           1.29041 | -140.68335 | -142.30662      0.83679      0.86280      0.62459
  8 |    0.07461 |   -0.08141     -0.08668 |    0.68988      0.66605 |           1.35593 | -140.67232 | -142.30662      0.96486      0.95951      0.80436
  9 |    0.03043 |   -0.06502     -0.07086 |    0.73770      0.72054 |           1.45825 | -140.71568 | -142.31302      1.15236      1.09730      1.11372
 10 |   -0.04808 |   -0.04060     -0.04796 |    0.78978      0.77224 |           1.56202 | -140.78392 | -142.31302      1.34524      1.25235      1.46313
 11 |   -0.13837 |   -0.01906     -0.02545 |    0.82678      0.82617 |           1.65295 | -140.90941 | -142.31302      1.48679      1.38969      1.79882
 12 |   -0.20559 |   -0.01035     -0.01341 |    0.85620      0.84819 |           1.70439 | -140.88759 | -142.32317      1.67736      1.46592      2.00093
 13 |   -0.05364 |   -0.00073     -0.00119 |    0.87165      0.86884 |           1.74049 | -140.93575 | -142.32317      1.67663      1.53928      2.14801
 14 |   -0.05364 |   -0.00026     -0.00018 |    0.87266      0.86556 |           1.73823 | -140.98474 | -142.32317      1.65084      1.53933      2.13867
 15 |   -0.08779 |    0.00004     -0.00003 |    0.87115      0.86502 |           1.73617 | -141.02307 | -142.33285      1.66342      1.52097      2.13021
 16 |   -0.15236 |   -0.00023     -0.00003 |    0.86689      0.86307 |           1.72996 | -141.01204 | -142.33285      1.66532      1.52179      2.10466
 17 |   -0.15236 |   -0.00017     -0.00017 |    0.86700      0.87101 |           1.73802 | -141.00496 | -142.33285      1.68915      1.52436      2.13781
 18 |   -0.15236 |   -0.00016     -0.00019 |    0.87234      0.87089 |           1.74323 | -140.99517 | -142.32627      1.69257      1.53911      2.15938
 19 |   -0.11820 |   -0.00026     -0.00009 |    0.87595      0.87248 |           1.74844 | -141.01077 | -142.32627      1.69168      1.54035      2.18099
 20 |   -0.11820 |   -0.00149     -0.00011 |    0.87398      0.87122 |           1.74520 | -141.01388 | -142.32627      1.68012      1.54405      2.16755
 21 |   -0.11820 |   -0.00005     -0.00020 |    0.87515      0.86753 |           1.74268 | -141.01818 | -142.32697      1.67586      1.53877      2.15709
 22 |   -0.11820 |    0.00007     -0.00026 |    0.87263      0.87029 |           1.74292 | -141.00551 | -142.32697      1.68390      1.53927      2.15807
 23 |   -0.11820 |   -0.00024     -0.00014 |    0.87347      0.86860 |           1.74207 | -141.00063 | -142.32697      1.68226      1.53950      2.15456
 24 |   -0.11820 |   -0.00000     -0.00007 |    0.87241      0.86908 |           1.74149 | -141.00183 | -142.32646      1.67874      1.53968      2.15215
